customer_id,age,annual_income,emp_length_years,home_ownership,loan_amount,loan_term_months,loan_intent,debt_to_income,revolving_utilization,delinquencies_2yrs,credit_inquiries_6m,loan_status,prob_default_pd,credit_score,credit_risk_tier,loss_given_default_lgd,exposure_at_default_ead,expected_loss_gbp
BARC-100010,31,34200.0,10,RENT,10000,36,DEBT_CONSOLIDATION,22.67,48.18,0,0,0,0.1059664955129156,549,2. Near Prime (Moderate Risk),0.45,10000,476.85
BARC-100011,44,11800.0,3,MORTGAGE,10000,36,HOME_IMPROVEMENT,9.34,73.64,0,0,0,0.1285469789428111,542,2. Near Prime (Moderate Risk),0.45,10000,578.46
BARC-100012,56,74500.0,2,MORTGAGE,2500,36,HOME_IMPROVEMENT,35.84,71.89,0,4,1,0.4018756763880312,499,3. Subprime (High Risk),0.45,2500,452.11
BARC-100013,60,113400.0,3,RENT,5000,60,DEBT_CONSOLIDATION,10.43,27.35,0,0,0,0.023331591434831624,595,1. Prime (Low Risk),0.45,5000,52.5
BARC-100014,44,33000.0,1,RENT,5000,36,CREDIT_CARD_REFINANCE,13.32,33.47,0,0,0,0.060358851256179034,566,2. Near Prime (Moderate Risk),0.45,5000,135.81
BARC-100015,23,22200.0,10,RENT,5000,36,DEBT_CONSOLIDATION,15.68,42.37,0,0,0,0.08433778988268001,556,2. Near Prime (Moderate Risk),0.45,5000,189.76
BARC-100016,42,83100.0,1,RENT,15000,36,DEBT_CONSOLIDATION,20.62,50.84,0,2,0,0.11601749238564951,546,2. Near Prime (Moderate Risk),0.45,15000,783.12
BARC-100017,22,102700.0,5,RENT,7500,36,DEBT_CONSOLIDATION,10.09,62.16,0,1,0,0.06426976436303165,564,2. Near Prime (Moderate Risk),0.45,7500,216.91
BARC-100018,44,33100.0,1,OWN,15000,36,DEBT_CONSOLIDATION,36.29,9.65,0,2,0,0.14458697958925856,538,2. Near Prime (Moderate Risk),0.45,15000,975.96
BARC-100019,64,32200.0,0,MORTGAGE,10000,60,CREDIT_CARD_REFINANCE,12.57,45.84,3,0,0,0.35390464341076106,504,3. Subprime (High Risk),0.45,10000,1592.57
BARC-100020,50,34800.0,8,OWN,15000,36,CREDIT_CARD_REFINANCE,12.98,3.59,0,0,0,0.03387357301044117,584,1. Prime (Low Risk),0.45,15000,228.65
BARC-100021,58,14500.0,5,RENT,5000,36,MAJOR_PURCHASE,12.85,70.08,0,0,0,0.13234315470727592,541,2. Near Prime (Moderate Risk),0.45,5000,297.77
BARC-100022,22,30900.0,0,RENT,10000,36,DEBT_CONSOLIDATION,7.67,58.94,0,0,0,0.08017417681024883,558,2. Near Prime (Moderate Risk),0.45,10000,360.78
BARC-100023,41,93300.0,10,OWN,10000,36,DEBT_CONSOLIDATION,17.91,21.83,1,0,0,0.0609182925532911,566,2. Near Prime (Moderate Risk),0.45,10000,274.13
BARC-100024,53,33100.0,3,MORTGAGE,10000,36,DEBT_CONSOLIDATION,23.88,63.22,1,1,1,0.2992031033257754,512,3. Subprime (High Risk),0.45,10000,1346.41
BARC-100025,32,20500.0,3,MORTGAGE,7500,36,CREDIT_CARD_REFINANCE,11.32,65.59,0,1,0,0.1437806587833594,539,2. Near Prime (Moderate Risk),0.45,7500,485.26
BARC-100026,42,47700.0,5,RENT,2500,60,DEBT_CONSOLIDATION,13.04,43.67,0,1,0,0.08292562377047895,556,2. Near Prime (Moderate Risk),0.45,2500,93.29
BARC-100027,64,25200.0,2,RENT,7500,60,HOME_IMPROVEMENT,21.27,31.4,0,0,0,0.08156320901090361,557,2. Near Prime (Moderate Risk),0.45,7500,275.28
BARC-100028,45,35000.0,5,MORTGAGE,5000,60,HOME_IMPROVEMENT,14.43,64.23,1,0,0,0.18400973602807588,530,2. Near Prime (Moderate Risk),0.45,5000,414.02
BARC-100029,47,18100.0,2,RENT,5000,36,HOME_IMPROVEMENT,10.46,32.19,0,0,0,0.06110806850599329,566,2. Near Prime (Moderate Risk),0.45,5000,137.49
BARC-100030,62,20500.0,10,RENT,5000,36,CREDIT_CARD_REFINANCE,13.34,52.77,0,0,0,0.09505932654939007,552,2. Near Prime (Moderate Risk),0.45,5000,213.88
BARC-100031,48,54500.0,10,RENT,10000,60,DEBT_CONSOLIDATION,11.01,57.63,0,1,0,0.09339534864488691,553,2. Near Prime (Moderate Risk),0.45,10000,420.28
BARC-100032,36,38700.0,5,RENT,7500,36,CREDIT_CARD_REFINANCE,25.22,17.7,0,0,0,0.06475837211325047,564,2. Near Prime (Moderate Risk),0.45,7500,218.56
BARC-100033,35,23700.0,5,MORTGAGE,5000,60,MEDICAL,16.26,39.45,0,1,0,0.10539260376361088,549,2. Near Prime (Moderate Risk),0.45,5000,237.13
BARC-100034,67,38800.0,15,MORTGAGE,5000,36,DEBT_CONSOLIDATION,17.19,13.66,0,2,0,0.07942331310349335,558,2. Near Prime (Moderate Risk),0.45,5000,178.7
BARC-100035,64,26000.0,8,OWN,10000,36,DEBT_CONSOLIDATION,16.11,13.61,2,0,0,0.15753346002004306,536,2. Near Prime (Moderate Risk),0.45,10000,708.9
BARC-100036,23,23600.0,0,RENT,7500,60,MAJOR_PURCHASE,5.88,0.19,0,3,0,0.06408618320191058,564,2. Near Prime (Moderate Risk),0.45,7500,216.29
BARC-100037,57,68900.0,1,OWN,7500,36,DEBT_CONSOLIDATION,9.58,36.24,0,0,0,0.04031062720230439,579,2. Near Prime (Moderate Risk),0.45,7500,136.05
BARC-100038,27,55900.0,5,MORTGAGE,15000,36,CREDIT_CARD_REFINANCE,27.16,0.0,0,0,0,0.0429208075335329,577,2. Near Prime (Moderate Risk),0.45,15000,289.72
BARC-100039,41,35900.0,3,RENT,5000,36,DEBT_CONSOLIDATION,19.83,52.29,0,1,0,0.13268429848763083,541,2. Near Prime (Moderate Risk),0.45,5000,298.54
BARC-100040,29,39300.0,10,RENT,10000,36,MAJOR_PURCHASE,37.67,31.28,2,0,0,0.3367664565812284,507,3. Subprime (High Risk),0.45,10000,1515.45
BARC-100041,59,36100.0,5,OWN,20000,60,CREDIT_CARD_REFINANCE,37.57,70.29,0,0,0,0.23469482548677237,521,3. Subprime (High Risk),0.45,20000,2112.25
BARC-100042,38,47500.0,15,RENT,10000,60,DEBT_CONSOLIDATION,22.95,8.21,0,0,0,0.04655015388099934,574,2. Near Prime (Moderate Risk),0.45,10000,209.48
BARC-100043,24,23400.0,0,RENT,15000,60,CREDIT_CARD_REFINANCE,28.1,36.12,0,0,0,0.11259895517928777,547,2. Near Prime (Moderate Risk),0.45,15000,760.04
BARC-100044,45,58400.0,3,RENT,5000,36,HOME_IMPROVEMENT,17.74,17.97,0,2,1,0.07352038101866495,560,2. Near Prime (Moderate Risk),0.45,5000,165.42
BARC-100045,34,44100.0,3,MORTGAGE,7500,36,MAJOR_PURCHASE,22.8,24.55,0,0,0,0.06430379320769897,564,2. Near Prime (Moderate Risk),0.45,7500,217.03
BARC-100046,29,31400.0,3,MORTGAGE,5000,36,HOME_IMPROVEMENT,21.37,20.0,0,1,1,0.0831058534869325,556,2. Near Prime (Moderate Risk),0.45,5000,186.99
BARC-100047,46,27800.0,10,MORTGAGE,7500,36,HOME_IMPROVEMENT,16.41,49.94,0,1,0,0.12237877137984411,544,2. Near Prime (Moderate Risk),0.45,7500,413.03
BARC-100048,22,57700.0,3,MORTGAGE,10000,36,HOME_IMPROVEMENT,10.88,32.92,0,0,0,0.04394187490404961,576,2. Near Prime (Moderate Risk),0.45,10000,197.74
BARC-100049,40,33400.0,8,OWN,5000,36,CREDIT_CARD_REFINANCE,13.58,49.53,0,1,1,0.1057983241169056,549,2. Near Prime (Moderate Risk),0.45,5000,238.05
BARC-100050,48,24700.0,5,MORTGAGE,15000,36,DEBT_CONSOLIDATION,12.35,18.21,0,0,0,0.047626056765846254,574,2. Near Prime (Moderate Risk),0.45,15000,321.48
BARC-100051,67,29400.0,5,MORTGAGE,7500,36,DEBT_CONSOLIDATION,21.74,68.3,0,0,0,0.150211768118977,537,2. Near Prime (Moderate Risk),0.45,7500,506.96
BARC-100052,27,55400.0,8,RENT,7500,36,DEBT_CONSOLIDATION,11.69,72.13,0,0,0,0.0934036080635635,553,2. Near Prime (Moderate Risk),0.45,7500,315.24
BARC-100053,64,15000.0,2,MORTGAGE,10000,60,DEBT_CONSOLIDATION,18.32,22.74,0,1,0,0.09088427553008786,554,2. Near Prime (Moderate Risk),0.45,10000,408.98
BARC-100054,28,29900.0,1,MORTGAGE,7500,36,DEBT_CONSOLIDATION,15.26,0.0,0,0,0,0.035910527114455394,582,1. Prime (Low Risk),0.45,7500,121.2
BARC-100055,67,65400.0,15,MORTGAGE,15000,36,DEBT_CONSOLIDATION,27.93,43.06,0,2,1,0.14857122365584075,537,2. Near Prime (Moderate Risk),0.45,15000,1002.86
BARC-100056,55,33100.0,3,MORTGAGE,5000,60,MEDICAL,28.0,32.14,0,1,0,0.1254665224274766,543,2. Near Prime (Moderate Risk),0.45,5000,282.3
BARC-100057,34,42200.0,3,RENT,7500,36,DEBT_CONSOLIDATION,21.55,42.37,0,0,0,0.08614770402595098,555,2. Near Prime (Moderate Risk),0.45,7500,290.75
BARC-100058,37,66000.0,2,RENT,7500,60,DEBT_CONSOLIDATION,24.11,54.27,0,0,1,0.0939995401180638,552,2. Near Prime (Moderate Risk),0.45,7500,317.25
BARC-100059,56,59300.0,5,MORTGAGE,7500,36,MAJOR_PURCHASE,20.84,46.52,0,1,0,0.10203675411159362,550,2. Near Prime (Moderate Risk),0.45,7500,344.37
BARC-100060,60,28500.0,15,MORTGAGE,7500,36,DEBT_CONSOLIDATION,19.53,28.27,0,0,0,0.07067126570577896,561,2. Near Prime (Moderate Risk),0.45,7500,238.52
BARC-100061,24,33800.0,10,MORTGAGE,15000,36,DEBT_CONSOLIDATION,24.0,76.44,0,1,0,0.22442095134090675,523,3. Subprime (High Risk),0.45,15000,1514.84
BARC-100062,22,59700.0,3,MORTGAGE,25000,36,MAJOR_PURCHASE,12.16,0.0,0,4,0,0.07553511514050402,559,2. Near Prime (Moderate Risk),0.45,25000,849.77
BARC-100063,26,60900.0,10,RENT,7500,36,DEBT_CONSOLIDATION,9.28,92.97,0,0,1,0.1180291495487152,545,2. Near Prime (Moderate Risk),0.45,7500,398.35
BARC-100064,62,34600.0,5,MORTGAGE,7500,36,CREDIT_CARD_REFINANCE,19.5,74.17,0,0,0,0.14793355998184632,538,2. Near Prime (Moderate Risk),0.45,7500,499.28
BARC-100065,24,35300.0,1,OWN,5000,36,CREDIT_CARD_REFINANCE,15.6,10.74,3,0,1,0.23188883082388648,522,3. Subprime (High Risk),0.45,5000,521.75
BARC-100066,49,42100.0,2,RENT,10000,36,CREDIT_CARD_REFINANCE,25.96,73.14,0,1,0,0.21225334703585313,525,3. Subprime (High Risk),0.45,10000,955.14
BARC-100067,38,77000.0,2,MORTGAGE,15000,60,DEBT_CONSOLIDATION,16.91,85.28,0,2,1,0.1909511033937201,529,3. Subprime (High Risk),0.45,15000,1288.92
BARC-100068,46,65300.0,10,RENT,20000,36,MAJOR_PURCHASE,6.8,75.78,0,0,0,0.07764453651633997,559,2. Near Prime (Moderate Risk),0.45,20000,698.8
BARC-100069,64,53200.0,15,RENT,7500,36,DEBT_CONSOLIDATION,27.61,15.13,0,0,0,0.058923264120506746,567,2. Near Prime (Moderate Risk),0.45,7500,198.87
BARC-100070,54,20100.0,2,RENT,20000,36,DEBT_CONSOLIDATION,7.45,47.25,0,2,0,0.12139627751384227,544,2. Near Prime (Moderate Risk),0.45,20000,1092.57
BARC-100071,30,31200.0,3,MORTGAGE,2500,60,HOME_IMPROVEMENT,8.52,41.12,0,2,0,0.10301036485342363,550,2. Near Prime (Moderate Risk),0.45,2500,115.89
BARC-100072,56,32100.0,15,RENT,15000,60,MAJOR_PURCHASE,23.46,55.28,0,0,0,0.12488147675597058,543,2. Near Prime (Moderate Risk),0.45,15000,842.95
BARC-100073,34,79200.0,10,MORTGAGE,7500,36,DEBT_CONSOLIDATION,23.75,30.46,0,0,0,0.05398499933770057,570,2. Near Prime (Moderate Risk),0.45,7500,182.2
BARC-100074,51,31800.0,3,OWN,25000,60,CREDIT_CARD_REFINANCE,12.74,0.0,0,0,0,0.03229495836846886,585,1. Prime (Low Risk),0.45,25000,363.32
BARC-100075,35,72400.0,5,RENT,5000,36,DEBT_CONSOLIDATION,25.5,69.95,0,1,0,0.15732150533252176,536,2. Near Prime (Moderate Risk),0.45,5000,353.97
BARC-100076,28,26500.0,10,RENT,2500,60,CREDIT_CARD_REFINANCE,7.17,36.15,0,1,0,0.07175933524911722,561,2. Near Prime (Moderate Risk),0.45,2500,80.73
BARC-100077,34,27700.0,0,RENT,10000,60,MAJOR_PURCHASE,25.51,81.8,1,2,1,0.47836677478553874,490,3. Subprime (High Risk),0.45,10000,2152.65
BARC-100078,43,47300.0,15,MORTGAGE,7500,36,DEBT_CONSOLIDATION,24.9,41.55,1,0,0,0.15942615901580623,535,2. Near Prime (Moderate Risk),0.45,7500,538.06
BARC-100079,60,86000.0,1,MORTGAGE,7500,36,DEBT_CONSOLIDATION,25.64,59.0,0,1,0,0.11775929103443211,545,2. Near Prime (Moderate Risk),0.45,7500,397.44
BARC-100080,41,32300.0,10,MORTGAGE,5000,36,DEBT_CONSOLIDATION,13.4,42.05,0,0,0,0.07107923710836778,561,2. Near Prime (Moderate Risk),0.45,5000,159.93
BARC-100081,36,8900.0,0,OWN,15000,36,HOME_IMPROVEMENT,25.24,15.09,0,0,1,0.08048135255796394,557,2. Near Prime (Moderate Risk),0.45,15000,543.25
BARC-100082,65,15400.0,15,RENT,5000,36,MAJOR_PURCHASE,25.37,66.15,1,0,0,0.2958125154021213,512,3. Subprime (High Risk),0.45,5000,665.58
BARC-100083,38,42800.0,0,MORTGAGE,5000,36,DEBT_CONSOLIDATION,20.42,23.34,3,0,0,0.2992759886162421,512,3. Subprime (High Risk),0.45,5000,673.37
BARC-100084,67,16100.0,15,RENT,5000,36,CREDIT_CARD_REFINANCE,27.32,18.48,0,3,0,0.1859416925351169,530,2. Near Prime (Moderate Risk),0.45,5000,418.37
BARC-100085,44,22600.0,0,MORTGAGE,5000,60,DEBT_CONSOLIDATION,14.89,14.04,0,2,0,0.08530938305114538,556,2. Near Prime (Moderate Risk),0.45,5000,191.95
BARC-100086,46,36600.0,1,MORTGAGE,7500,36,HOME_IMPROVEMENT,15.98,53.23,0,1,0,0.11855640821965918,545,2. Near Prime (Moderate Risk),0.45,7500,400.13
BARC-100087,45,9400.0,15,MORTGAGE,5000,36,HOME_IMPROVEMENT,8.65,11.21,1,0,0,0.07741741102280705,559,2. Near Prime (Moderate Risk),0.45,5000,174.19
BARC-100088,65,29500.0,8,MORTGAGE,5000,36,DEBT_CONSOLIDATION,21.47,44.01,1,2,0,0.2730402666832673,515,3. Subprime (High Risk),0.45,5000,614.34
BARC-100089,61,19100.0,10,MORTGAGE,7500,60,MEDICAL,22.4,0.0,0,0,0,0.05082170583154569,572,2. Near Prime (Moderate Risk),0.45,7500,171.52
BARC-100090,49,15900.0,3,RENT,7500,36,DEBT_CONSOLIDATION,7.49,25.97,0,3,0,0.11381003137971712,546,2. Near Prime (Moderate Risk),0.45,7500,384.11
BARC-100091,35,23400.0,1,MORTGAGE,5000,36,CREDIT_CARD_REFINANCE,21.57,50.91,0,0,1,0.11741243774134737,545,2. Near Prime (Moderate Risk),0.45,5000,264.18
BARC-100092,65,20200.0,1,RENT,5000,36,MAJOR_PURCHASE,38.61,49.45,1,0,0,0.3202053866474005,509,3. Subprime (High Risk),0.45,5000,720.46
BARC-100093,21,47000.0,15,OWN,10000,36,DEBT_CONSOLIDATION,15.85,50.15,0,0,0,0.07835357902606849,558,2. Near Prime (Moderate Risk),0.45,10000,352.59
BARC-100094,45,70100.0,3,RENT,10000,36,DEBT_CONSOLIDATION,22.31,80.94,0,0,0,0.13513649070477746,541,2. Near Prime (Moderate Risk),0.45,10000,608.11
BARC-100095,27,29700.0,8,RENT,5000,36,CREDIT_CARD_REFINANCE,9.18,77.5,0,0,0,0.11755186222868497,545,2. Near Prime (Moderate Risk),0.45,5000,264.49
BARC-100096,29,26200.0,8,RENT,5000,60,DEBT_CONSOLIDATION,22.8,49.53,0,0,0,0.11653590708172089,546,2. Near Prime (Moderate Risk),0.45,5000,262.21
BARC-100097,44,28900.0,5,MORTGAGE,7500,36,HOME_IMPROVEMENT,21.03,28.62,3,1,0,0.4258599627817923,496,3. Subprime (High Risk),0.45,7500,1437.28
BARC-100098,21,19700.0,10,RENT,5000,60,DEBT_CONSOLIDATION,25.6,20.59,0,0,0,0.08169088233800254,557,2. Near Prime (Moderate Risk),0.45,5000,183.8
BARC-100099,64,17900.0,8,RENT,5000,36,CREDIT_CARD_REFINANCE,27.92,75.68,0,0,0,0.22164626316580857,523,3. Subprime (High Risk),0.45,5000,498.7
BARC-100100,28,14700.0,8,RENT,10000,36,DEBT_CONSOLIDATION,9.94,62.07,0,1,1,0.13621593316981226,540,2. Near Prime (Moderate Risk),0.45,10000,612.97
BARC-100101,44,17500.0,10,OWN,7500,36,DEBT_CONSOLIDATION,27.09,1.22,0,0,0,0.061934881840183136,566,2. Near Prime (Moderate Risk),0.45,7500,209.03
BARC-100102,31,89100.0,2,RENT,5000,36,DEBT_CONSOLIDATION,22.38,33.18,0,0,0,0.04948543975290241,572,2. Near Prime (Moderate Risk),0.45,5000,111.34
BARC-100103,37,24800.0,2,MORTGAGE,5000,36,HOME_IMPROVEMENT,17.6,63.6,1,3,0,0.40077959675280644,499,3. Subprime (High Risk),0.45,5000,901.75
BARC-100104,28,7200.0,8,MORTGAGE,10000,36,DEBT_CONSOLIDATION,32.28,24.56,0,1,1,0.15641274817037087,536,2. Near Prime (Moderate Risk),0.45,10000,703.86
BARC-100105,55,26300.0,10,MORTGAGE,2500,60,MAJOR_PURCHASE,12.15,69.21,0,0,1,0.11556944703571521,546,2. Near Prime (Moderate Risk),0.45,2500,130.02
BARC-100106,55,15100.0,5,RENT,5000,36,DEBT_CONSOLIDATION,16.43,16.5,0,0,1,0.057947980464665275,568,2. Near Prime (Moderate Risk),0.45,5000,130.38
BARC-100107,53,37500.0,15,MORTGAGE,15000,36,HOME_IMPROVEMENT,18.12,48.21,1,0,0,0.15608481104830044,536,2. Near Prime (Moderate Risk),0.45,15000,1053.57
BARC-100108,25,35400.0,10,RENT,25000,36,DEBT_CONSOLIDATION,20.0,74.06,1,2,1,0.375247420757417,502,3. Subprime (High Risk),0.45,25000,4221.53
BARC-100109,62,37400.0,10,OWN,2500,36,CREDIT_CARD_REFINANCE,15.75,18.92,0,3,0,0.1098435194905007,547,2. Near Prime (Moderate Risk),0.45,2500,123.57
BARC-100110,59,35500.0,2,MORTGAGE,7500,36,HOME_IMPROVEMENT,15.44,81.25,0,0,0,0.14543716150351674,538,2. Near Prime (Moderate Risk),0.45,7500,490.85
BARC-100111,61,29600.0,3,RENT,15000,60,MAJOR_PURCHASE,15.12,42.6,1,0,0,0.1382662918163294,540,2. Near Prime (Moderate Risk),0.45,15000,933.3
BARC-100112,48,16300.0,3,MORTGAGE,7500,36,HOME_IMPROVEMENT,24.45,58.49,0,1,0,0.19734513462680822,528,3. Subprime (High Risk),0.45,7500,666.04
BARC-100113,27,34900.0,1,RENT,15000,36,DEBT_CONSOLIDATION,26.36,22.75,0,4,1,0.21202284680592887,525,3. Subprime (High Risk),0.45,15000,1431.15
BARC-100114,29,63600.0,8,RENT,10000,36,DEBT_CONSOLIDATION,21.21,64.3,1,1,0,0.22827666537326155,522,3. Subprime (High Risk),0.45,10000,1027.24
BARC-100115,28,98500.0,3,RENT,10000,36,DEBT_CONSOLIDATION,33.51,85.9,0,0,0,0.1647349645090364,534,2. Near Prime (Moderate Risk),0.45,10000,741.31
BARC-100116,32,31900.0,5,MORTGAGE,2500,60,MAJOR_PURCHASE,21.42,33.25,0,4,1,0.22068339010005228,524,3. Subprime (High Risk),0.45,2500,248.27
BARC-100117,54,33800.0,8,MORTGAGE,7500,60,DEBT_CONSOLIDATION,17.73,45.91,1,0,1,0.15304215355554748,536,2. Near Prime (Moderate Risk),0.45,7500,516.52
BARC-100118,53,47800.0,0,OWN,5000,36,DEBT_CONSOLIDATION,21.76,33.27,0,4,0,0.19775304558721205,528,3. Subprime (High Risk),0.45,5000,444.94
BARC-100119,43,82600.0,0,RENT,15000,36,DEBT_CONSOLIDATION,10.48,6.68,2,0,0,0.07212517818745048,561,2. Near Prime (Moderate Risk),0.45,15000,486.84
BARC-100120,44,27800.0,3,MORTGAGE,10000,60,CREDIT_CARD_REFINANCE,24.88,2.64,0,0,0,0.0537092705303973,570,2. Near Prime (Moderate Risk),0.45,10000,241.69
BARC-100121,57,53200.0,8,MORTGAGE,5000,60,HOME_IMPROVEMENT,25.62,82.26,0,2,0,0.2772476219968498,515,3. Subprime (High Risk),0.45,5000,623.81
BARC-100122,55,23100.0,5,MORTGAGE,2500,60,HOME_IMPROVEMENT,17.19,48.46,1,0,0,0.17086445144282594,533,2. Near Prime (Moderate Risk),0.45,2500,192.22
BARC-100123,64,43500.0,15,MORTGAGE,10000,36,DEBT_CONSOLIDATION,17.83,30.02,0,0,0,0.0602282266367831,566,2. Near Prime (Moderate Risk),0.45,10000,271.03
BARC-100124,60,61900.0,2,MORTGAGE,7500,60,DEBT_CONSOLIDATION,22.31,67.53,0,0,0,0.11540865877022917,546,2. Near Prime (Moderate Risk),0.45,7500,389.5
BARC-100125,42,17900.0,1,RENT,15000,36,DEBT_CONSOLIDATION,12.55,46.93,0,0,1,0.08549446150649223,556,2. Near Prime (Moderate Risk),0.45,15000,577.09
BARC-100126,47,27200.0,1,RENT,7500,60,DEBT_CONSOLIDATION,25.99,71.8,0,3,0,0.35365160320956296,505,3. Subprime (High Risk),0.45,7500,1193.57
BARC-100127,55,61400.0,2,MORTGAGE,5000,60,DEBT_CONSOLIDATION,6.39,10.28,0,0,0,0.0237743919039282,594,1. Prime (Low Risk),0.45,5000,53.49
BARC-100128,21,51000.0,2,MORTGAGE,2500,36,DEBT_CONSOLIDATION,27.94,82.31,0,1,1,0.24097663133405492,520,3. Subprime (High Risk),0.45,2500,271.1
BARC-100129,55,64200.0,3,MORTGAGE,15000,36,DEBT_CONSOLIDATION,9.15,45.23,0,1,0,0.0646450428810542,564,2. Near Prime (Moderate Risk),0.45,15000,436.35
BARC-100130,57,57900.0,5,MORTGAGE,20000,36,DEBT_CONSOLIDATION,17.27,39.43,1,0,0,0.110840450477063,547,2. Near Prime (Moderate Risk),0.45,20000,997.56
BARC-100131,67,30100.0,2,RENT,7500,36,CREDIT_CARD_REFINANCE,7.91,28.37,0,0,0,0.04684816006489786,574,2. Near Prime (Moderate Risk),0.45,7500,158.11
BARC-100132,34,121700.0,5,OWN,7500,36,DEBT_CONSOLIDATION,17.33,49.15,0,2,0,0.07237251994955603,561,2. Near Prime (Moderate Risk),0.45,7500,244.26
BARC-100133,23,39200.0,5,RENT,7500,60,DEBT_CONSOLIDATION,20.28,65.3,0,0,0,0.12594565249901232,543,2. Near Prime (Moderate Risk),0.45,7500,425.07
BARC-100134,21,6800.0,3,RENT,7500,36,HOME_IMPROVEMENT,14.76,19.75,1,0,0,0.11243561674742268,547,2. Near Prime (Moderate Risk),0.45,7500,379.47
BARC-100135,25,31100.0,3,MORTGAGE,15000,36,MEDICAL,18.15,54.76,0,0,0,0.10518975993529243,549,2. Near Prime (Moderate Risk),0.45,15000,710.03
BARC-100136,46,28100.0,3,MORTGAGE,20000,36,HOME_IMPROVEMENT,28.3,62.64,0,3,1,0.33091588414792655,507,3. Subprime (High Risk),0.45,20000,2978.24
BARC-100137,34,56200.0,15,MORTGAGE,7500,60,DEBT_CONSOLIDATION,32.23,43.11,0,0,0,0.10989429251630599,547,2. Near Prime (Moderate Risk),0.45,7500,370.89
BARC-100138,59,28300.0,0,RENT,7500,36,DEBT_CONSOLIDATION,22.85,56.07,0,0,0,0.12810961476612454,542,2. Near Prime (Moderate Risk),0.45,7500,432.37
BARC-100139,47,66500.0,8,RENT,5000,36,DEBT_CONSOLIDATION,19.77,52.04,0,0,0,0.07787822040556054,558,2. Near Prime (Moderate Risk),0.45,5000,175.23
BARC-100140,29,49400.0,3,MORTGAGE,20000,36,DEBT_CONSOLIDATION,23.95,39.65,0,2,1,0.14135549806680806,539,2. Near Prime (Moderate Risk),0.45,20000,1272.2
BARC-100141,35,21000.0,2,MORTGAGE,5000,36,DEBT_CONSOLIDATION,27.48,66.83,0,2,0,0.2929538964315412,513,3. Subprime (High Risk),0.45,5000,659.15
BARC-100142,35,33600.0,10,MORTGAGE,25000,36,MAJOR_PURCHASE,14.79,0.0,0,0,0,0.03414106568838027,584,1. Prime (Low Risk),0.45,25000,384.09
BARC-100143,46,23700.0,5,RENT,10000,60,CREDIT_CARD_REFINANCE,15.49,67.74,2,0,0,0.3466043451604825,505,3. Subprime (High Risk),0.45,10000,1559.72
BARC-100144,62,40200.0,5,MORTGAGE,5000,36,MAJOR_PURCHASE,21.97,59.72,1,3,0,0.3858973881854832,501,3. Subprime (High Risk),0.45,5000,868.27
BARC-100145,33,23600.0,3,RENT,7500,60,MEDICAL,5.42,27.48,0,4,0,0.13279736875742634,541,2. Near Prime (Moderate Risk),0.45,7500,448.19
BARC-100146,52,37800.0,3,RENT,7500,60,MEDICAL,20.94,21.66,0,1,1,0.07976758001341157,558,2. Near Prime (Moderate Risk),0.45,7500,269.22
BARC-100147,59,31300.0,8,MORTGAGE,7500,60,HOME_IMPROVEMENT,22.01,70.49,0,0,0,0.15459620563951731,536,2. Near Prime (Moderate Risk),0.45,7500,521.76
