customer_id,age,annual_income,emp_length_years,home_ownership,loan_amount,loan_term_months,loan_intent,debt_to_income,revolving_utilization,delinquencies_2yrs,credit_inquiries_6m,loan_status
BARC-100039,41,35900.0,3,RENT,5000,36,DEBT_CONSOLIDATION,19.83,52.29,0,1,0
BARC-100040,29,39300.0,10,RENT,10000,36,MAJOR_PURCHASE,37.67,31.28,2,0,0
BARC-100041,59,36100.0,5,OWN,20000,60,CREDIT_CARD_REFINANCE,37.57,70.29,0,0,0
BARC-100042,38,47500.0,15,RENT,10000,60,DEBT_CONSOLIDATION,22.95,8.21,0,0,0
BARC-100043,24,23400.0,0,RENT,15000,60,CREDIT_CARD_REFINANCE,28.1,36.12,0,0,0
BARC-100044,45,58400.0,3,RENT,5000,36,HOME_IMPROVEMENT,17.74,17.97,0,2,1
BARC-100045,34,44100.0,3,MORTGAGE,7500,36,MAJOR_PURCHASE,22.8,24.55,0,0,0
BARC-100046,29,31400.0,3,MORTGAGE,5000,36,HOME_IMPROVEMENT,21.37,20.0,0,1,1
BARC-100047,46,27800.0,10,MORTGAGE,7500,36,HOME_IMPROVEMENT,16.41,49.94,0,1,0
BARC-100048,22,57700.0,3,MORTGAGE,10000,36,HOME_IMPROVEMENT,10.88,32.92,0,0,0
BARC-100049,40,33400.0,8,OWN,5000,36,CREDIT_CARD_REFINANCE,13.58,49.53,0,1,1
BARC-100050,48,24700.0,5,MORTGAGE,15000,36,DEBT_CONSOLIDATION,12.35,18.21,0,0,0
BARC-100051,67,29400.0,5,MORTGAGE,7500,36,DEBT_CONSOLIDATION,21.74,68.3,0,0,0
BARC-100052,27,55400.0,8,RENT,7500,36,DEBT_CONSOLIDATION,11.69,72.13,0,0,0
BARC-100053,64,15000.0,2,MORTGAGE,10000,60,DEBT_CONSOLIDATION,18.32,22.74,0,1,0
BARC-100054,28,29900.0,1,MORTGAGE,7500,36,DEBT_CONSOLIDATION,15.26,0.0,0,0,0
BARC-100055,67,65400.0,15,MORTGAGE,15000,36,DEBT_CONSOLIDATION,27.93,43.06,0,2,1
BARC-100056,55,33100.0,3,MORTGAGE,5000,60,MEDICAL,28.0,32.14,0,1,0
BARC-100057,34,42200.0,3,RENT,7500,36,DEBT_CONSOLIDATION,21.55,42.37,0,0,0
BARC-100058,37,66000.0,2,RENT,7500,60,DEBT_CONSOLIDATION,24.11,54.27,0,0,1
BARC-100059,56,59300.0,5,MORTGAGE,7500,36,MAJOR_PURCHASE,20.84,46.52,0,1,0
BARC-100060,60,28500.0,15,MORTGAGE,7500,36,DEBT_CONSOLIDATION,19.53,28.27,0,0,0
BARC-100061,24,33800.0,10,MORTGAGE,15000,36,DEBT_CONSOLIDATION,24.0,76.44,0,1,0
BARC-100062,22,59700.0,3,MORTGAGE,25000,36,MAJOR_PURCHASE,12.16,0.0,0,4,0
BARC-100063,26,60900.0,10,RENT,7500,36,DEBT_CONSOLIDATION,9.28,92.97,0,0,1
BARC-100064,62,34600.0,5,MORTGAGE,7500,36,CREDIT_CARD_REFINANCE,19.5,74.17,0,0,0
BARC-100065,24,35300.0,1,OWN,5000,36,CREDIT_CARD_REFINANCE,15.6,10.74,3,0,1
BARC-100066,49,42100.0,2,RENT,10000,36,CREDIT_CARD_REFINANCE,25.96,73.14,0,1,0
BARC-100067,38,77000.0,2,MORTGAGE,15000,60,DEBT_CONSOLIDATION,16.91,85.28,0,2,1
BARC-100068,46,65300.0,10,RENT,20000,36,MAJOR_PURCHASE,6.8,75.78,0,0,0
BARC-100069,64,53200.0,15,RENT,7500,36,DEBT_CONSOLIDATION,27.61,15.13,0,0,0
BARC-100070,54,20100.0,2,RENT,20000,36,DEBT_CONSOLIDATION,7.45,47.25,0,2,0
BARC-100071,30,31200.0,3,MORTGAGE,2500,60,HOME_IMPROVEMENT,8.52,41.12,0,2,0
BARC-100072,56,32100.0,15,RENT,15000,60,MAJOR_PURCHASE,23.46,55.28,0,0,0
BARC-100073,34,79200.0,10,MORTGAGE,7500,36,DEBT_CONSOLIDATION,23.75,30.46,0,0,0
BARC-100074,51,31800.0,3,OWN,25000,60,CREDIT_CARD_REFINANCE,12.74,0.0,0,0,0
BARC-100075,35,72400.0,5,RENT,5000,36,DEBT_CONSOLIDATION,25.5,69.95,0,1,0
BARC-100076,28,26500.0,10,RENT,2500,60,CREDIT_CARD_REFINANCE,7.17,36.15,0,1,0
BARC-100077,34,27700.0,0,RENT,10000,60,MAJOR_PURCHASE,25.51,81.8,1,2,1
BARC-100078,43,47300.0,15,MORTGAGE,7500,36,DEBT_CONSOLIDATION,24.9,41.55,1,0,0
BARC-100079,60,86000.0,1,MORTGAGE,7500,36,DEBT_CONSOLIDATION,25.64,59.0,0,1,0
BARC-100080,41,32300.0,10,MORTGAGE,5000,36,DEBT_CONSOLIDATION,13.4,42.05,0,0,0
BARC-100081,36,8900.0,0,OWN,15000,36,HOME_IMPROVEMENT,25.24,15.09,0,0,1
BARC-100082,65,15400.0,15,RENT,5000,36,MAJOR_PURCHASE,25.37,66.15,1,0,0
BARC-100083,38,42800.0,0,MORTGAGE,5000,36,DEBT_CONSOLIDATION,20.42,23.34,3,0,0
BARC-100084,67,16100.0,15,RENT,5000,36,CREDIT_CARD_REFINANCE,27.32,18.48,0,3,0
BARC-100085,44,22600.0,0,MORTGAGE,5000,60,DEBT_CONSOLIDATION,14.89,14.04,0,2,0
BARC-100086,46,36600.0,1,MORTGAGE,7500,36,HOME_IMPROVEMENT,15.98,53.23,0,1,0
BARC-100087,45,9400.0,15,MORTGAGE,5000,36,HOME_IMPROVEMENT,8.65,11.21,1,0,0
BARC-100088,65,29500.0,8,MORTGAGE,5000,36,DEBT_CONSOLIDATION,21.47,44.01,1,2,0
BARC-100089,61,19100.0,10,MORTGAGE,7500,60,MEDICAL,22.4,0.0,0,0,0
BARC-100090,49,15900.0,3,RENT,7500,36,DEBT_CONSOLIDATION,7.49,25.97,0,3,0
BARC-100091,35,23400.0,1,MORTGAGE,5000,36,CREDIT_CARD_REFINANCE,21.57,50.91,0,0,1
BARC-100092,65,20200.0,1,RENT,5000,36,MAJOR_PURCHASE,38.61,49.45,1,0,0
BARC-100093,21,47000.0,15,OWN,10000,36,DEBT_CONSOLIDATION,15.85,50.15,0,0,0
BARC-100094,45,70100.0,3,RENT,10000,36,DEBT_CONSOLIDATION,22.31,80.94,0,0,0
BARC-100095,27,29700.0,8,RENT,5000,36,CREDIT_CARD_REFINANCE,9.18,77.5,0,0,0
BARC-100096,29,26200.0,8,RENT,5000,60,DEBT_CONSOLIDATION,22.8,49.53,0,0,0
BARC-100097,44,28900.0,5,MORTGAGE,7500,36,HOME_IMPROVEMENT,21.03,28.62,3,1,0
BARC-100098,21,19700.0,10,RENT,5000,60,DEBT_CONSOLIDATION,25.6,20.59,0,0,0
BARC-100099,64,17900.0,8,RENT,5000,36,CREDIT_CARD_REFINANCE,27.92,75.68,0,0,0
BARC-100100,28,14700.0,8,RENT,10000,36,DEBT_CONSOLIDATION,9.94,62.07,0,1,1
BARC-100101,44,17500.0,10,OWN,7500,36,DEBT_CONSOLIDATION,27.09,1.22,0,0,0
BARC-100102,31,89100.0,2,RENT,5000,36,DEBT_CONSOLIDATION,22.38,33.18,0,0,0
BARC-100103,37,24800.0,2,MORTGAGE,5000,36,HOME_IMPROVEMENT,17.6,63.6,1,3,0
BARC-100104,28,7200.0,8,MORTGAGE,10000,36,DEBT_CONSOLIDATION,32.28,24.56,0,1,1
BARC-100105,55,26300.0,10,MORTGAGE,2500,60,MAJOR_PURCHASE,12.15,69.21,0,0,1
BARC-100106,55,15100.0,5,RENT,5000,36,DEBT_CONSOLIDATION,16.43,16.5,0,0,1
BARC-100107,53,37500.0,15,MORTGAGE,15000,36,HOME_IMPROVEMENT,18.12,48.21,1,0,0
BARC-100108,25,35400.0,10,RENT,25000,36,DEBT_CONSOLIDATION,20.0,74.06,1,2,1
BARC-100109,62,37400.0,10,OWN,2500,36,CREDIT_CARD_REFINANCE,15.75,18.92,0,3,0
BARC-100110,59,35500.0,2,MORTGAGE,7500,36,HOME_IMPROVEMENT,15.44,81.25,0,0,0
BARC-100111,61,29600.0,3,RENT,15000,60,MAJOR_PURCHASE,15.12,42.6,1,0,0
BARC-100112,48,16300.0,3,MORTGAGE,7500,36,HOME_IMPROVEMENT,24.45,58.49,0,1,0
BARC-100113,27,34900.0,1,RENT,15000,36,DEBT_CONSOLIDATION,26.36,22.75,0,4,1
BARC-100114,29,63600.0,8,RENT,10000,36,DEBT_CONSOLIDATION,21.21,64.3,1,1,0
BARC-100115,28,98500.0,3,RENT,10000,36,DEBT_CONSOLIDATION,33.51,85.9,0,0,0
BARC-100116,32,31900.0,5,MORTGAGE,2500,60,MAJOR_PURCHASE,21.42,33.25,0,4,1
BARC-100117,54,33800.0,8,MORTGAGE,7500,60,DEBT_CONSOLIDATION,17.73,45.91,1,0,1
BARC-100118,53,47800.0,0,OWN,5000,36,DEBT_CONSOLIDATION,21.76,33.27,0,4,0
BARC-100119,43,82600.0,0,RENT,15000,36,DEBT_CONSOLIDATION,10.48,6.68,2,0,0
BARC-100120,44,27800.0,3,MORTGAGE,10000,60,CREDIT_CARD_REFINANCE,24.88,2.64,0,0,0
BARC-100121,57,53200.0,8,MORTGAGE,5000,60,HOME_IMPROVEMENT,25.62,82.26,0,2,0
BARC-100122,55,23100.0,5,MORTGAGE,2500,60,HOME_IMPROVEMENT,17.19,48.46,1,0,0
BARC-100123,64,43500.0,15,MORTGAGE,10000,36,DEBT_CONSOLIDATION,17.83,30.02,0,0,0
BARC-100124,60,61900.0,2,MORTGAGE,7500,60,DEBT_CONSOLIDATION,22.31,67.53,0,0,0
BARC-100125,42,17900.0,1,RENT,15000,36,DEBT_CONSOLIDATION,12.55,46.93,0,0,1
BARC-100126,47,27200.0,1,RENT,7500,60,DEBT_CONSOLIDATION,25.99,71.8,0,3,0
BARC-100127,55,61400.0,2,MORTGAGE,5000,60,DEBT_CONSOLIDATION,6.39,10.28,0,0,0
BARC-100128,21,51000.0,2,MORTGAGE,2500,36,DEBT_CONSOLIDATION,27.94,82.31,0,1,1
BARC-100129,55,64200.0,3,MORTGAGE,15000,36,DEBT_CONSOLIDATION,9.15,45.23,0,1,0
BARC-100130,57,57900.0,5,MORTGAGE,20000,36,DEBT_CONSOLIDATION,17.27,39.43,1,0,0
BARC-100131,67,30100.0,2,RENT,7500,36,CREDIT_CARD_REFINANCE,7.91,28.37,0,0,0
BARC-100132,34,121700.0,5,OWN,7500,36,DEBT_CONSOLIDATION,17.33,49.15,0,2,0
BARC-100133,23,39200.0,5,RENT,7500,60,DEBT_CONSOLIDATION,20.28,65.3,0,0,0
BARC-100134,21,6800.0,3,RENT,7500,36,HOME_IMPROVEMENT,14.76,19.75,1,0,0
BARC-100135,25,31100.0,3,MORTGAGE,15000,36,MEDICAL,18.15,54.76,0,0,0
BARC-100136,46,28100.0,3,MORTGAGE,20000,36,HOME_IMPROVEMENT,28.3,62.64,0,3,1
BARC-100137,34,56200.0,15,MORTGAGE,7500,60,DEBT_CONSOLIDATION,32.23,43.11,0,0,0
BARC-100138,59,28300.0,0,RENT,7500,36,DEBT_CONSOLIDATION,22.85,56.07,0,0,0
BARC-100139,47,66500.0,8,RENT,5000,36,DEBT_CONSOLIDATION,19.77,52.04,0,0,0
BARC-100140,29,49400.0,3,MORTGAGE,20000,36,DEBT_CONSOLIDATION,23.95,39.65,0,2,1
BARC-100141,35,21000.0,2,MORTGAGE,5000,36,DEBT_CONSOLIDATION,27.48,66.83,0,2,0
BARC-100142,35,33600.0,10,MORTGAGE,25000,36,MAJOR_PURCHASE,14.79,0.0,0,0,0
BARC-100143,46,23700.0,5,RENT,10000,60,CREDIT_CARD_REFINANCE,15.49,67.74,2,0,0
BARC-100144,62,40200.0,5,MORTGAGE,5000,36,MAJOR_PURCHASE,21.97,59.72,1,3,0
BARC-100145,33,23600.0,3,RENT,7500,60,MEDICAL,5.42,27.48,0,4,0
BARC-100146,52,37800.0,3,RENT,7500,60,MEDICAL,20.94,21.66,0,1,1
BARC-100147,59,31300.0,8,MORTGAGE,7500,60,HOME_IMPROVEMENT,22.01,70.49,0,0,0
BARC-100148,52,33400.0,8,RENT,7500,36,DEBT_CONSOLIDATION,18.62,44.65,0,1,0
BARC-100149,24,112200.0,8,MORTGAGE,10000,60,DEBT_CONSOLIDATION,14.41,12.38,0,1,0
BARC-100150,50,29800.0,5,RENT,20000,36,DEBT_CONSOLIDATION,20.96,7.72,1,1,1
BARC-100151,57,12500.0,8,RENT,5000,60,CREDIT_CARD_REFINANCE,29.35,17.16,0,0,0
BARC-100152,43,63500.0,8,MORTGAGE,2500,36,HOME_IMPROVEMENT,22.77,40.27,0,0,0
BARC-100153,59,63200.0,8,RENT,2500,36,DEBT_CONSOLIDATION,26.67,48.28,1,2,0
BARC-100154,65,12200.0,2,OWN,15000,60,DEBT_CONSOLIDATION,13.59,50.87,1,0,1
BARC-100155,35,24700.0,8,MORTGAGE,7500,60,HOME_IMPROVEMENT,7.5,21.16,0,0,0
BARC-100156,63,46200.0,5,MORTGAGE,5000,36,DEBT_CONSOLIDATION,21.46,66.28,0,2,1
BARC-100157,49,48500.0,1,MORTGAGE,15000,36,HOME_IMPROVEMENT,17.31,23.96,0,0,0
BARC-100158,56,36200.0,5,MORTGAGE,5000,60,MAJOR_PURCHASE,20.13,9.16,0,1,1
BARC-100159,33,36700.0,10,MORTGAGE,15000,60,DEBT_CONSOLIDATION,10.06,27.58,1,0,0
BARC-100160,52,21700.0,3,RENT,10000,36,MAJOR_PURCHASE,30.6,7.9,0,0,0
BARC-100161,27,9700.0,1,RENT,2500,36,HOME_IMPROVEMENT,9.27,20.43,0,0,0
BARC-100162,42,112100.0,5,RENT,10000,36,DEBT_CONSOLIDATION,13.82,26.98,0,4,0
BARC-100163,48,21300.0,2,MORTGAGE,7500,60,CREDIT_CARD_REFINANCE,5.51,27.51,0,0,0
BARC-100164,22,40000.0,5,RENT,7500,36,DEBT_CONSOLIDATION,27.94,43.67,0,2,0
BARC-100165,62,33300.0,8,OWN,5000,36,MAJOR_PURCHASE,8.74,16.29,0,1,0
BARC-100166,65,59500.0,5,RENT,10000,60,HOME_IMPROVEMENT,10.12,39.33,0,1,0
BARC-100167,26,38700.0,3,MORTGAGE,7500,60,MAJOR_PURCHASE,22.32,82.43,0,0,0
BARC-100168,48,39500.0,10,RENT,2500,36,MEDICAL,26.06,40.23,0,0,0
BARC-100169,48,8500.0,1,MORTGAGE,20000,36,DEBT_CONSOLIDATION,13.1,35.81,0,0,0
BARC-100170,64,23000.0,0,RENT,7500,36,MEDICAL,25.84,65.35,0,0,0
BARC-100171,64,54700.0,10,RENT,5000,36,CREDIT_CARD_REFINANCE,30.15,38.92,0,1,1
BARC-100172,40,52100.0,0,RENT,7500,36,HOME_IMPROVEMENT,19.61,24.23,0,0,0
BARC-100173,50,21500.0,5,MORTGAGE,20000,36,DEBT_CONSOLIDATION,28.98,18.75,0,2,0
BARC-100174,31,15200.0,5,RENT,20000,36,HOME_IMPROVEMENT,18.26,0.0,0,1,0
BARC-100175,48,38900.0,3,RENT,15000,36,DEBT_CONSOLIDATION,19.03,53.58,0,0,0
BARC-100176,45,7300.0,2,MORTGAGE,7500,36,MEDICAL,31.83,56.06,0,2,0
BARC-100177,59,19300.0,8,RENT,5000,60,CREDIT_CARD_REFINANCE,14.7,25.13,0,0,0
BARC-100178,53,95600.0,3,MORTGAGE,7500,36,CREDIT_CARD_REFINANCE,9.87,37.63,0,0,0
BARC-100179,21,80400.0,1,MORTGAGE,20000,36,HOME_IMPROVEMENT,23.9,35.38,2,0,1
BARC-100180,47,47500.0,5,RENT,7500,36,MEDICAL,9.62,25.97,0,0,0
BARC-100181,33,43000.0,8,RENT,5000,36,DEBT_CONSOLIDATION,19.63,58.64,0,0,0
BARC-100182,61,12400.0,3,RENT,10000,36,DEBT_CONSOLIDATION,19.91,47.52,0,1,1
BARC-100183,23,24200.0,1,MORTGAGE,10000,36,CREDIT_CARD_REFINANCE,4.49,86.36,1,1,0
BARC-100184,59,30900.0,3,MORTGAGE,7500,60,CREDIT_CARD_REFINANCE,34.81,65.86,0,0,0
BARC-100185,26,24400.0,5,RENT,2500,36,HOME_IMPROVEMENT,13.61,65.58,0,0,0
BARC-100186,28,30000.0,1,MORTGAGE,10000,36,CREDIT_CARD_REFINANCE,10.36,94.7,0,0,0
BARC-100187,47,74200.0,2,MORTGAGE,15000,36,CREDIT_CARD_REFINANCE,14.75,9.08,0,0,0
BARC-100188,29,27000.0,15,RENT,7500,36,HOME_IMPROVEMENT,24.09,56.65,2,0,0
BARC-100189,57,30100.0,2,MORTGAGE,15000,36,MAJOR_PURCHASE,20.04,66.01,0,0,0
BARC-100190,53,54500.0,0,OWN,5000,36,CREDIT_CARD_REFINANCE,18.32,19.48,0,0,0
BARC-100191,62,16600.0,3,RENT,5000,60,DEBT_CONSOLIDATION,19.39,42.54,2,4,0
BARC-100192,64,22900.0,0,MORTGAGE,25000,36,DEBT_CONSOLIDATION,19.28,73.51,0,1,1
BARC-100193,44,24200.0,0,OWN,15000,36,HOME_IMPROVEMENT,20.64,39.06,0,0,0
BARC-100194,35,37400.0,0,MORTGAGE,2500,36,HOME_IMPROVEMENT,19.73,60.62,0,3,0
BARC-100195,52,30000.0,2,RENT,25000,36,DEBT_CONSOLIDATION,7.81,32.66,0,0,0
BARC-100196,52,30600.0,0,RENT,7500,60,DEBT_CONSOLIDATION,10.55,32.08,0,1,0
BARC-100197,44,25200.0,2,MORTGAGE,5000,36,DEBT_CONSOLIDATION,13.93,100.0,0,1,0
BARC-100198,61,20200.0,5,OWN,5000,60,HOME_IMPROVEMENT,22.03,13.22,2,2,0
BARC-100199,32,50800.0,2,MORTGAGE,7500,36,HOME_IMPROVEMENT,19.71,25.36,0,0,0
BARC-100200,59,30200.0,5,MORTGAGE,2500,36,DEBT_CONSOLIDATION,24.27,36.56,0,0,1
BARC-100201,22,51000.0,3,RENT,7500,36,DEBT_CONSOLIDATION,13.05,8.88,0,2,0
BARC-100202,23,19700.0,10,RENT,20000,60,DEBT_CONSOLIDATION,28.3,15.74,0,2,0
BARC-100203,57,25200.0,8,OWN,10000,60,DEBT_CONSOLIDATION,14.93,0.0,0,1,0
BARC-100204,37,32200.0,10,RENT,15000,36,CREDIT_CARD_REFINANCE,20.18,70.08,0,1,0
BARC-100205,22,33800.0,5,OWN,5000,60,CREDIT_CARD_REFINANCE,17.5,56.58,0,1,0
BARC-100206,22,55000.0,8,OWN,7500,36,CREDIT_CARD_REFINANCE,25.01,56.75,0,0,0
BARC-100207,48,28700.0,5,RENT,2500,36,HOME_IMPROVEMENT,24.46,42.44,0,1,0
BARC-100208,43,54800.0,8,RENT,10000,36,MEDICAL,8.95,10.3,0,0,0
BARC-100209,57,44600.0,8,MORTGAGE,5000,36,CREDIT_CARD_REFINANCE,15.56,67.34,0,0,0
BARC-100210,52,34200.0,3,RENT,5000,36,CREDIT_CARD_REFINANCE,17.66,41.32,0,1,0
BARC-100211,53,21500.0,1,MORTGAGE,5000,60,HOME_IMPROVEMENT,23.2,53.96,0,1,0
BARC-100212,21,55100.0,10,MORTGAGE,10000,36,HOME_IMPROVEMENT,6.81,50.03,0,0,0
BARC-100213,39,21800.0,0,MORTGAGE,7500,60,DEBT_CONSOLIDATION,37.25,59.5,2,1,0
BARC-100214,22,35900.0,5,OWN,7500,60,DEBT_CONSOLIDATION,22.51,50.53,0,0,0
BARC-100215,64,35300.0,15,RENT,5000,36,DEBT_CONSOLIDATION,15.44,100.0,0,3,0
BARC-100216,46,32400.0,2,OWN,5000,60,CREDIT_CARD_REFINANCE,13.3,56.05,0,2,0
BARC-100217,52,29300.0,8,MORTGAGE,7500,36,DEBT_CONSOLIDATION,24.89,43.02,0,1,0
BARC-100218,26,23100.0,15,RENT,7500,36,CREDIT_CARD_REFINANCE,15.2,68.22,0,0,0
BARC-100219,52,14900.0,5,MORTGAGE,5000,60,DEBT_CONSOLIDATION,25.25,13.76,1,2,0
BARC-100220,24,78600.0,5,MORTGAGE,15000,36,HOME_IMPROVEMENT,24.59,34.89,0,0,0
BARC-100221,31,27700.0,3,RENT,10000,36,HOME_IMPROVEMENT,22.8,26.8,1,0,0
BARC-100222,37,33800.0,3,MORTGAGE,5000,36,HOME_IMPROVEMENT,15.41,15.09,0,3,0
BARC-100223,58,33700.0,5,MORTGAGE,7500,36,DEBT_CONSOLIDATION,17.57,39.15,1,3,0
BARC-100224,44,66300.0,10,RENT,10000,60,DEBT_CONSOLIDATION,17.85,22.96,0,0,0
BARC-100225,25,105200.0,15,MORTGAGE,7500,36,DEBT_CONSOLIDATION,27.9,67.35,0,0,0
BARC-100226,54,39700.0,5,MORTGAGE,5000,36,HOME_IMPROVEMENT,8.71,57.44,0,0,0
BARC-100227,26,33300.0,8,RENT,7500,36,CREDIT_CARD_REFINANCE,16.55,14.94,0,0,1
BARC-100228,42,19600.0,8,MORTGAGE,5000,36,DEBT_CONSOLIDATION,14.35,22.21,1,0,1
BARC-100229,31,16400.0,2,RENT,5000,36,MAJOR_PURCHASE,27.3,46.81,0,2,1
BARC-100230,36,13700.0,5,RENT,5000,60,HOME_IMPROVEMENT,10.78,27.13,0,0,0
BARC-100231,53,23400.0,8,RENT,15000,36,MAJOR_PURCHASE,35.24,39.47,0,1,0
BARC-100232,29,11500.0,1,MORTGAGE,7500,36,DEBT_CONSOLIDATION,25.26,2.98,0,0,0
BARC-100233,26,65700.0,10,OWN,15000,36,CREDIT_CARD_REFINANCE,29.61,19.59,0,0,1
BARC-100234,36,45800.0,3,RENT,5000,36,DEBT_CONSOLIDATION,24.24,0.0,0,0,0
BARC-100235,49,31600.0,5,MORTGAGE,10000,60,DEBT_CONSOLIDATION,15.68,22.06,0,2,0
BARC-100236,23,66800.0,10,MORTGAGE,10000,36,DEBT_CONSOLIDATION,22.89,31.67,0,1,0
BARC-100237,40,20100.0,1,RENT,20000,36,MEDICAL,10.52,58.22,0,2,0
BARC-100238,56,23100.0,0,RENT,7500,36,MAJOR_PURCHASE,23.73,43.1,0,2,0
BARC-100239,39,12500.0,2,RENT,10000,60,DEBT_CONSOLIDATION,23.97,41.97,0,2,0
BARC-100240,46,55600.0,1,RENT,20000,36,MEDICAL,29.17,48.62,0,0,0
BARC-100241,23,23300.0,15,RENT,2500,60,CREDIT_CARD_REFINANCE,19.89,43.93,0,0,0
BARC-100242,39,36600.0,5,MORTGAGE,10000,60,HOME_IMPROVEMENT,14.09,2.61,0,3,0
BARC-100243,40,63000.0,5,MORTGAGE,2500,60,MEDICAL,14.49,25.2,1,1,0
BARC-100244,52,77200.0,8,OTHER,15000,36,MAJOR_PURCHASE,15.36,59.5,0,0,0
BARC-100245,27,35700.0,2,MORTGAGE,7500,36,CREDIT_CARD_REFINANCE,30.6,25.49,1,0,0
BARC-100246,61,44900.0,5,RENT,7500,60,DEBT_CONSOLIDATION,34.28,79.69,1,0,0
BARC-100247,53,22100.0,1,RENT,7500,36,DEBT_CONSOLIDATION,17.08,2.79,0,0,0
BARC-100248,60,91700.0,1,MORTGAGE,2500,60,DEBT_CONSOLIDATION,29.87,10.39,0,0,0
BARC-100249,59,33100.0,3,MORTGAGE,5000,60,CREDIT_CARD_REFINANCE,28.75,30.12,2,0,1
